review_id,order_id,customer_id,restaurant_id,restaurant_rating,food_rating,delivery_rating,overall_rating,review_text,review_date
1,533167,438477,16066,2.6,3.3,3.7,3.2,Could be improved,1/17/2025
2,1809208,17288,12768,1.1,2.8,3.8,2.6,Decent food quality,4/13/2024
3,593174,209121,43190,5,2.9,1.8,3.2,Could be improved,5/8/2026
4,1806916,355489,25816,2.5,1,2.7,2.1,Taste was not good,3/23/2023
5,647068,200765,26390,4.2,4.9,2.6,3.9,Decent food quality,8/24/2023
6,1399233,467158,13807,1.8,3.4,5,3.4,Food was okay,6/30/2025
7,925839,6109,47634,2.2,1.3,3.2,2.2,Not satisfied with service,3/28/2023
8,350873,127968,30662,3.3,3,2.9,3.1,Could be improved,2/20/2023
9,1075905,191369,7076,1.7,4.2,4.6,3.5,Food was okay,12/7/2023
10,577611,394580,9770,3.4,2.3,1.9,2.5,Poor food quality,11/8/2025
11,1392339,3039,17055,2.6,3.1,1.6,2.4,Not satisfied with service,11/5/2025
12,456427,464425,47667,2.2,1.9,4.8,3,Average experience,1/9/2025
13,1837869,193149,27240,2.3,2.5,1.9,2.2,Poor food quality,4/2/2026
14,352349,206916,3307,2.7,3.2,3.9,3.3,Food was okay,3/6/2023
15,1130211,83609,38473,2.4,4.1,5,3.8,Food was okay,6/27/2023
16,746398,406773,8497,3,1.5,4.4,3,Average experience,2/5/2024
17,787635,175435,20618,4.5,1.9,3,3.1,Service was normal,6/20/2026
18,1576082,173720,3352,4.6,4.1,1.9,3.5,Average experience,11/7/2026
19,27356,378725,2920,3.3,1.8,2.1,2.4,Not satisfied with service,5/19/2023
20,1806930,440993,24487,2.2,3.9,1.7,2.6,Service was normal,5/14/2025
21,1621679,312890,42889,2.8,3.7,1.7,2.7,Average experience,5/9/2023
22,1917605,19386,8461,2.1,4.4,3.4,3.3,Decent food quality,4/12/2023
23,850088,351269,8319,3.9,2.7,3.5,3.4,Could be improved,10/21/2026
24,1088036,293421,2921,3.4,4.5,3.5,3.8,Average experience,6/20/2023
25,379189,20315,20314,1.9,4.7,3.7,3.4,Decent food quality,1/13/2023
26,1124310,492770,37109,2.4,4.6,4.3,3.8,Could be improved,7/20/2023
27,499244,487352,21389,1.2,3.2,1.1,1.8,Packaging was damaged,3/17/2024
28,1309775,57484,36141,2.2,1.8,3.4,2.5,Not satisfied with service,11/6/2026
29,1746321,304607,15336,4.2,3.9,1.7,3.3,Decent food quality,7/15/2025
30,772473,191019,34571,2.7,3.9,2.1,2.9,Service was normal,10/14/2024
31,1403876,461209,37621,1,1.2,3.1,1.8,Late delivery experience,8/15/2023
32,230150,24454,38837,3,4,3.6,3.5,Decent food quality,4/13/2025
33,1956976,137592,25316,4.6,3.1,2.9,3.5,Service was normal,3/26/2023
34,1155898,321289,478,3.7,4.6,4.1,4.1,Food quality was great,6/25/2024
35,346060,41756,33172,1.7,4.9,3.3,3.3,Decent food quality,10/18/2026
36,1640475,34523,23799,4.2,2.1,2.8,3,Could be improved,10/17/2026
37,898766,248349,1419,2.8,4.9,1.3,3,Decent food quality,7/22/2024
38,1866177,499454,31580,4.2,2,4.5,3.6,Average experience,11/12/2025
39,222753,321136,13857,3.6,2.4,3.6,3.2,Food was okay,9/3/2026
