city_id,city_name,state,region,population,is_active
1,Mumbai,Maharashtra,West,20411000,1
2,Delhi,Delhi,North,32900000,1
3,Bengaluru,Karnataka,South,13608000,1
4,Hyderabad,Telangana,South,10628000,1
5,Ahmedabad,Gujarat,West,8450000,1
6,Chennai,Tamil Nadu,South,11324000,1
7,Kolkata,West Bengal,East,15134000,1
8,Pune,Maharashtra,West,7764000,1
9,Jaipur,Rajasthan,North,4300000,1
10,Lucknow,Uttar Pradesh,North,3382000,1
11,Kanpur,Uttar Pradesh,North,3200000,1
12,Nagpur,Maharashtra,West,3100000,1
13,Indore,Madhya Pradesh,Central,3000000,1
14,Thane,Maharashtra,West,2900000,1
15,Bhopal,Madhya Pradesh,Central,2500000,1
16,Visakhapatnam,Andhra Pradesh,South,2400000,1
17,Patna,Bihar,East,2500000,1
18,Vadodara,Gujarat,West,2200000,1
19,Ghaziabad,Uttar Pradesh,North,2100000,1
20,Ludhiana,Punjab,North,2000000,1
21,Agra,Uttar Pradesh,North,1900000,1
22,Nashik,Maharashtra,West,1800000,1
23,Faridabad,Haryana,North,1800000,1
24,Meerut,Uttar Pradesh,North,1700000,1
25,Rajkot,Gujarat,West,1700000,1
26,Varanasi,Uttar Pradesh,North,1600000,1
27,Srinagar,Jammu & Kashmir,North,1500000,1
28,Aurangabad,Maharashtra,West,1500000,1
29,Dhanbad,Jharkhand,East,1400000,1
30,Amritsar,Punjab,North,1400000,1
31,Allahabad,Uttar Pradesh,North,1300000,1
32,Ranchi,Jharkhand,East,1300000,1
33,Howrah,West Bengal,East,1200000,1
34,Coimbatore,Tamil Nadu,South,2200000,1
35,Jabalpur,Madhya Pradesh,Central,1200000,1
36,Gwalior,Madhya Pradesh,Central,1200000,1
37,Vijayawada,Andhra Pradesh,South,1100000,1
38,Jodhpur,Rajasthan,North,1200000,1
39,Madurai,Tamil Nadu,South,1600000,1
40,Raipur,Chhattisgarh,Central,1500000,1
41,Kota,Rajasthan,North,1100000,1
42,Guwahati,Assam,North East,1200000,1
43,Chandigarh,Chandigarh,North,1100000,1
44,Solapur,Maharashtra,West,1000000,1
45,Hubballi,Karnataka,South,950000,1
46,Mysuru,Karnataka,South,920000,1
47,Tiruchirappalli,Tamil Nadu,South,1000000,1
48,Bareilly,Uttar Pradesh,North,900000,1
49,Aligarh,Uttar Pradesh,North,900000,1
50,Moradabad,Uttar Pradesh,North,890000,1
