coupon_id,coupon_code,coupon_name,discount_type,discount_value,min_order_value,max_discount,start_date,end_date,usage_limit,is_active
1,FOODIE125,FOODIE,Flat,75,299,75,2025-12-03,2026-09-07,9644,1
2,HAPPY189,HAPPY,Flat,50,199,50,2024-08-13,2027-05-09,6640,1
3,LUNCH617,LUNCH,Percentage,30,799,150,2025-02-23,2026-10-29,43090,0
4,LUNCH559,LUNCH,Flat,250,199,250,2025-01-14,2026-09-18,10963,0
5,TREAT384,TREAT,Percentage,15,399,500,2026-02-17,2026-09-03,7198,1
6,FESTIVE199,FESTIVE,Flat,250,399,250,2026-01-01,2027-05-09,40065,1
7,SAVEBIG847,SAVEBIG,Flat,150,199,150,2026-06-17,2027-02-22,25307,1
8,HAPPY400,HAPPY,Flat,150,299,150,2024-09-30,2027-03-12,46674,1
9,SAVEBIG777,SAVEBIG,Percentage,50,199,200,2025-06-17,2026-08-07,15756,1
10,FESTIVE384,FESTIVE,Flat,200,399,200,2024-08-17,2026-08-31,11159,1
11,SPECIAL314,SPECIAL,Flat,200,799,200,2025-01-10,2026-10-24,42969,1
12,GOAT750,GOAT,Percentage,30,299,400,2025-08-21,2027-03-16,11208,0
13,FESTIVE376,FESTIVE,Percentage,40,199,200,2024-08-14,2027-02-28,15510,1
14,TREAT510,TREAT,Flat,50,299,50,2024-12-26,2027-04-30,37670,1
15,DINNER771,DINNER,Flat,125,799,125,2025-12-11,2027-04-24,30571,1
16,BREAKFAST242,BREAKFAST,Percentage,40,599,300,2025-09-21,2027-01-04,17719,0
17,FLASH508,FLASH,Flat,75,299,75,2025-01-12,2027-01-16,33892,0
18,SUPER873,SUPER,Percentage,50,299,100,2025-10-25,2026-11-11,41620,1
19,WEEKEND710,WEEKEND,Percentage,25,599,250,2026-04-14,2027-06-28,31174,1
20,HAPPY981,HAPPY,Percentage,40,199,400,2024-07-30,2027-05-16,45176,1
21,TREAT214,TREAT,Flat,125,299,125,2026-04-11,2026-09-26,30235,1
22,BREAKFAST612,BREAKFAST,Percentage,30,799,100,2026-01-18,2027-01-06,20058,1
23,HUNGRY482,HUNGRY,Percentage,30,599,500,2025-04-15,2026-11-10,537,1
24,WINTER119,WINTER,Percentage,20,399,500,2024-11-22,2026-10-17,16192,1
25,LUNCH999,LUNCH,Percentage,10,499,400,2026-03-10,2026-12-03,5035,1
26,HUNGRY775,HUNGRY,Flat,150,299,150,2024-10-12,2026-08-31,17870,0
27,DINNER652,DINNER,Percentage,40,499,200,2025-05-16,2026-09-01,44519,1
28,SUMMER629,SUMMER,Flat,50,299,50,2025-04-29,2027-06-20,15225,1
29,TREAT121,TREAT,Percentage,30,199,150,2025-04-18,2027-03-17,5152,1
30,LUNCH169,LUNCH,Percentage,50,199,200,2025-02-15,2027-06-04,34195,1
31,BREAKFAST785,BREAKFAST,Flat,75,599,75,2024-08-27,2027-05-05,9171,0
32,LUNCH903,LUNCH,Flat,250,499,250,2025-07-16,2027-02-19,12978,1
33,FOODIE774,FOODIE,Flat,100,499,100,2024-10-29,2027-07-19,27441,0
34,SAVEBIG789,SAVEBIG,Percentage,10,799,250,2025-05-15,2026-08-25,22736,1
35,LUNCH296,LUNCH,Percentage,30,299,250,2025-09-26,2026-11-16,28148,1
36,BREAKFAST573,BREAKFAST,Percentage,50,499,100,2026-04-30,2027-03-27,36566,1
37,SAVEBIG767,SAVEBIG,Percentage,10,299,500,2025-11-17,2027-07-04,11399,0
38,WINTER592,WINTER,Percentage,50,199,250,2026-05-25,2026-12-13,11289,0
39,WELCOME499,WELCOME,Flat,250,499,250,2025-10-16,2026-10-08,19194,0
40,HAPPY777,HAPPY,Flat,75,299,75,2026-01-23,2026-08-22,19945,1
41,SAVEBIG693,SAVEBIG,Percentage,40,199,200,2024-08-29,2027-04-08,3786,0
42,RAINY973,RAINY,Percentage,10,199,300,2025-01-18,2027-05-22,12678,1
43,GOAT169,GOAT,Percentage,25,599,100,2025-03-06,2026-08-25,16635,1
44,GOAT183,GOAT,Flat,200,599,200,2026-05-20,2026-10-24,37542,1
45,BREAKFAST309,BREAKFAST,Flat,75,399,75,2026-05-29,2026-09-03,26438,1
46,FAST568,FAST,Flat,250,199,250,2025-05-16,2026-11-10,1110,0
47,GOAT676,GOAT,Percentage,10,299,300,2025-07-12,2027-03-29,33653,1
48,HUNGRY457,HUNGRY,Percentage,15,399,200,2026-05-03,2026-12-14,10838,0
49,HAPPY820,HAPPY,Flat,150,799,150,2024-11-28,2026-12-16,35164,1
50,HAPPY406,HAPPY,Percentage,15,199,200,2025-04-26,2026-10-15,7514,1
51,BREAKFAST388,BREAKFAST,Percentage,40,299,200,2025-12-27,2026-11-06,45555,1
52,RAINY600,RAINY,Flat,250,199,250,2026-01-21,2027-07-24,6548,0
53,BREAKFAST145,BREAKFAST,Percentage,20,299,500,2026-01-06,2027-04-03,42253,1
54,MEAL859,MEAL,Flat,150,799,150,2024-09-18,2027-03-19,28528,1
55,FOODIE177,FOODIE,Percentage,30,399,100,2025-11-30,2026-09-30,38675,1
56,WEEKEND230,WEEKEND,Percentage,20,199,200,2025-09-12,2027-05-05,23949,1
57,LUNCH782,LUNCH,Percentage,20,599,500,2025-01-31,2026-09-27,27132,1
58,LUNCH985,LUNCH,Percentage,50,299,500,2025-07-19,2026-12-20,27520,1
59,MEAL854,MEAL,Flat,250,499,250,2025-02-19,2027-07-20,44403,1
60,BREAKFAST263,BREAKFAST,Percentage,25,199,500,2025-12-04,2027-04-19,31347,1
61,DINNER936,DINNER,Flat,100,399,100,2025-09-30,2026-10-19,15415,1
62,WELCOME775,WELCOME,Percentage,25,399,200,2026-01-07,2026-11-28,5049,1
63,SPECIAL756,SPECIAL,Flat,200,599,200,2026-05-10,2027-05-20,22202,1
64,FOODIE998,FOODIE,Flat,75,599,75,2026-03-19,2026-08-16,17897,1
65,FOODIE710,FOODIE,Flat,100,799,100,2025-01-18,2027-06-10,21057,0
66,GOAT623,GOAT,Percentage,25,299,300,2024-08-18,2027-06-03,17193,1
67,WEEKEND101,WEEKEND,Percentage,20,199,250,2025-03-27,2026-12-28,44031,1
68,GOAT421,GOAT,Percentage,40,599,200,2025-02-17,2026-08-20,20769,0
69,TREAT512,TREAT,Flat,150,299,150,2025-01-04,2027-07-15,13072,0
70,FESTIVE793,FESTIVE,Percentage,30,399,300,2025-10-08,2027-07-01,27112,1
71,FAST393,FAST,Percentage,25,599,500,2026-02-02,2026-11-25,40258,1
72,SUMMER552,SUMMER,Flat,200,299,200,2025-01-06,2027-04-06,34000,0
73,MEAL774,MEAL,Percentage,20,799,300,2025-08-16,2026-12-26,41980,1
74,SUPER938,SUPER,Percentage,40,299,200,2026-06-12,2027-07-16,13550,1
75,WELCOME147,WELCOME,Percentage,25,199,300,2025-12-06,2027-01-20,30346,0
76,FLASH299,FLASH,Flat,125,499,125,2024-11-12,2026-11-05,16489,1
77,WELCOME868,WELCOME,Percentage,50,299,250,2024-11-10,2026-10-29,12026,0
78,SAVEBIG670,SAVEBIG,Percentage,50,499,100,2026-02-23,2027-03-01,9238,0
79,RAINY672,RAINY,Flat,250,499,250,2025-09-16,2026-11-05,40650,0
80,HAPPY556,HAPPY,Percentage,40,499,500,2026-02-25,2027-03-10,29995,1
81,LUNCH960,LUNCH,Flat,250,599,250,2025-06-22,2027-07-09,32258,1
82,BREAKFAST550,BREAKFAST,Percentage,40,299,200,2025-10-21,2026-12-28,18307,1
83,TREAT653,TREAT,Percentage,15,299,150,2025-05-02,2026-10-19,25602,1
84,DINNER165,DINNER,Flat,125,399,125,2024-11-09,2027-02-08,36060,0
85,WEEKEND163,WEEKEND,Percentage,50,499,250,2025-08-12,2026-08-30,38778,1
86,FLASH489,FLASH,Flat,50,399,50,2026-03-04,2026-08-13,20069,0
87,WEEKEND651,WEEKEND,Percentage,25,399,150,2026-05-24,2026-09-06,29062,0
88,WELCOME498,WELCOME,Flat,200,799,200,2024-11-20,2027-03-26,26997,1
89,SUMMER230,SUMMER,Percentage,25,599,300,2024-11-26,2027-05-29,43950,1
90,SUPER758,SUPER,Flat,75,499,75,2026-01-04,2027-01-05,12409,1
91,BREAKFAST488,BREAKFAST,Flat,75,499,75,2025-10-31,2026-08-19,21920,1
92,FESTIVE384,FESTIVE,Flat,100,199,100,2025-05-19,2026-12-21,31322,1
93,HAPPY153,HAPPY,Flat,75,799,75,2025-10-30,2027-01-23,4996,1
94,WELCOME353,WELCOME,Percentage,50,599,100,2025-09-08,2026-10-31,10486,1
95,HUNGRY584,HUNGRY,Percentage,30,499,150,2025-09-27,2027-06-25,46340,1
96,SPECIAL271,SPECIAL,Percentage,50,299,500,2024-08-02,2027-04-16,20884,1
97,FLASH126,FLASH,Flat,150,799,150,2026-02-04,2026-09-08,25096,0
98,DINNER177,DINNER,Percentage,10,399,400,2026-01-05,2027-07-04,45343,1
99,FLASH901,FLASH,Percentage,20,499,300,2025-09-15,2027-05-13,43853,1
100,SUPER618,SUPER,Flat,50,499,50,2025-02-17,2027-05-20,32625,1
101,WEEKEND470,WEEKEND,Flat,200,299,200,2025-12-04,2026-12-05,29040,1
102,RAINY766,RAINY,Flat,150,599,150,2024-10-19,2026-11-16,32186,0
103,WEEKEND945,WEEKEND,Flat,100,299,100,2025-06-27,2026-09-25,6179,1
104,SUMMER349,SUMMER,Flat,150,599,150,2025-07-12,2026-07-27,44290,0
105,TREAT129,TREAT,Flat,250,399,250,2026-02-05,2027-07-01,12417,0
106,DINNER463,DINNER,Flat,100,399,100,2026-02-03,2026-11-05,39569,1
107,HAPPY110,HAPPY,Percentage,10,799,150,2025-08-17,2027-05-17,27135,0
108,HAPPY876,HAPPY,Percentage,40,799,250,2024-12-10,2027-02-08,47151,0
109,SUMMER911,SUMMER,Percentage,10,299,200,2024-10-15,2027-06-29,27002,1
110,FAST779,FAST,Flat,125,599,125,2025-11-22,2026-11-18,35294,1
111,WEEKEND863,WEEKEND,Flat,100,799,100,2026-05-09,2027-03-31,30236,1
112,FAST357,FAST,Percentage,10,299,400,2025-08-23,2027-03-19,21179,1
113,HAPPY880,HAPPY,Percentage,15,799,150,2024-12-26,2026-09-23,32232,1
114,FLASH878,FLASH,Flat,50,299,50,2025-05-11,2027-05-18,19914,1
115,SPECIAL283,SPECIAL,Flat,50,799,50,2024-11-27,2027-02-20,35505,1
116,BREAKFAST146,BREAKFAST,Percentage,30,799,200,2026-03-21,2027-07-19,8775,0
117,FOODIE993,FOODIE,Percentage,30,499,200,2025-09-09,2027-07-17,31873,0
118,TREAT288,TREAT,Percentage,20,499,500,2024-07-25,2027-03-15,7976,1
119,FESTIVE603,FESTIVE,Percentage,30,799,400,2025-04-02,2027-01-31,4013,1
120,HUNGRY930,HUNGRY,Flat,50,299,50,2024-08-09,2026-09-07,8262,0
121,GOAT710,GOAT,Percentage,50,499,300,2025-05-02,2027-07-02,30024,0
122,FAST980,FAST,Flat,100,599,100,2026-05-01,2027-06-04,41199,1
123,GOAT857,GOAT,Percentage,50,799,150,2025-03-20,2026-10-26,14329,1
124,SUPER260,SUPER,Percentage,15,199,300,2024-09-07,2026-10-27,10758,1
125,WEEKEND561,WEEKEND,Flat,100,199,100,2026-06-06,2027-03-03,15670,1
126,FAST819,FAST,Flat,50,799,50,2024-09-24,2026-08-28,15797,1
127,FLASH777,FLASH,Percentage,25,599,100,2026-02-13,2027-01-30,15233,1
128,BREAKFAST946,BREAKFAST,Percentage,10,299,100,2026-04-19,2026-08-21,20659,1
129,SUMMER227,SUMMER,Flat,200,399,200,2026-03-07,2027-02-17,46357,0
130,BREAKFAST612,BREAKFAST,Flat,125,199,125,2026-03-11,2026-09-12,39692,1
131,WEEKEND852,WEEKEND,Flat,150,399,150,2024-11-01,2027-04-08,2195,1
132,LUNCH790,LUNCH,Percentage,50,399,400,2025-07-29,2027-02-24,38264,1
133,MEAL581,MEAL,Flat,100,299,100,2024-11-30,2026-11-05,38860,0
134,WINTER193,WINTER,Flat,100,499,100,2025-09-07,2027-06-29,22343,1
135,FOODIE978,FOODIE,Percentage,20,799,250,2025-11-08,2027-01-06,32971,1
136,FESTIVE933,FESTIVE,Percentage,25,399,100,2025-01-05,2027-07-21,17041,1
137,FOODIE891,FOODIE,Flat,250,599,250,2025-09-16,2027-05-15,575,0
138,WEEKEND155,WEEKEND,Percentage,30,599,200,2026-02-11,2027-04-19,33169,0
139,SAVEBIG308,SAVEBIG,Flat,150,299,150,2024-12-28,2027-04-28,19376,0
140,WINTER224,WINTER,Percentage,40,299,300,2025-03-24,2026-12-27,47016,1
141,FAST664,FAST,Percentage,30,199,250,2025-12-28,2027-04-04,15225,1
142,SUMMER220,SUMMER,Percentage,25,399,400,2025-05-11,2027-01-12,33849,1
